CONTRACTID;START;END;CONTRACTNUMBER;CUSTOMERID;FULLNAME;DATEOFBITRH;SEX;PASSPORTSERIESNUMBER;TYPE;ADDINFO
0;13.03.1994;03.12.2010;196790;59;Marta Head;18.04.1994;female;103515;TELEVISION;7,xXddYpCtci,iAWBbDBbQiJAzmuRUszU
1;14.12.2012;24.11.2002;109942;29;Eve Anthony;04.03.1972;female;179780;MOBILE;213,55,4.0
2;04.03.1983;03.08.1973;183460;64;Nathan Dunkley;05.08.1979;female;183498;INTERNET;116.0
3;04.09.1987;20.12.2013;125304;82;Digby Flowers;12.06.1991;female;134374;TELEVISION;2,JChYweRfUZ,zyLXAHkDcNmWaXsdMBiL
4;16.04.2014;11.12.1973;136238;89;Khloe Bates;09.10.1982;female;109039;MOBILE;39,195,4.0
5;01.09.1987;15.02.1981;189091;43;Mitchell Madden;03.06.1988;male;131156;INTERNET;55.0
6;05.05.1972;22.01.2006;181323;78;Bartosz Salas;02.03.2011;male;178822;TELEVISION;5,vBSvuuawaE,tZlDDDRlrXeAbhoTpELU
7;16.06.2015;26.12.1992;176119;26;Stephanie Greer;12.08.2014;female;111426;MOBILE;5,16,1.0
8;11.08.1975;03.02.1985;172955;0;Sonny Schwartz;01.06.1996;female;125466;INTERNET;156.0
9;16.06.1981;09.03.2013;181025;55;Karla Terrell;28.04.1989;male;150690;TELEVISION;5,NVQnrosQxk,ejwgsVRLWoYAwBdByHSx
10;16.08.2013;21.02.1978;129106;85;Kenan Best;31.05.2009;female;189002;MOBILE;175,179,6.0
11;16.05.1978;05.07.2008;196815;75;Maci Browning;09.05.1980;female;186813;INTERNET;192.0
12;03.08.1990;21.12.1995;146946;32;Oisin Sadler;18.05.1981;male;157367;TELEVISION;0,CKrCfqYFho,KtjRzbcLaFTuJLpmBPUW
13;23.02.2002;29.04.2007;182513;85;Margie Noel;09.03.2005;male;170317;MOBILE;293,71,9.0
14;18.01.1983;09.03.2003;116615;99;Boyd Goulding;19.02.1979;female;146315;INTERNET;34.0
